"application","key","type","context","french_reference","english_reference","proposed_translation","translator_notes"
"Pilulo","app_name","string","Général","Pilulo","Pilulo","",""
"Pilulo","add_medication","string","Général","Ajouter un rappel quotidien","Add daily reminder","",""
"Pilulo","back","string","Général","Retour","Back","",""
"Pilulo","today","string","Rappels du jour","Aujourd’hui","Today","",""
"Pilulo","today_recurring_hint","string","Rappels du jour","Les mêmes rappels reviennent automatiquement chaque jour.","The same reminders come back automatically every day.","",""
"Pilulo","reminders_to_check.one","plural","Rappels du jour","%1$d rappel à prendre","%1$d reminder to take","",""
"Pilulo","reminders_to_check.other","plural","Rappels du jour","%1$d rappels à prendre","%1$d reminders to take","",""
"Pilulo","stop_alarms","string","Rappels du jour","Me les rappeler plus tard","Remind me later","",""
"Pilulo","notifications_disabled_title","string","Permissions Android","Notifications désactivées","Notifications disabled","",""
"Pilulo","notifications_disabled_message","string","Permissions Android","Les rappels ne peuvent pas s’afficher tant que les notifications sont bloquées dans Android.","Reminders cannot appear while notifications are blocked in Android.","",""
"Pilulo","open_settings","string","Permissions Android","Ouvrir les réglages","Open settings","",""
"Pilulo","exact_alarms_title","string","Permissions Android","Alarmes exactes à autoriser","Allow exact alarms","",""
"Pilulo","exact_alarms_message","string","Permissions Android","Android peut retarder les rappels si l’autorisation Alarmes et rappels n’est pas accordée.","Android may delay reminders if the Alarms and reminders permission is not granted.","",""
"Pilulo","allow_alarms","string","Permissions Android","Autoriser les alarmes","Allow alarms","",""
"Pilulo","safety_disclaimer_title","string","Avertissement médical","Information importante","Important information","",""
"Pilulo","safety_disclaimer_medical","string","Avertissement médical","Cette application est un outil d’aide-mémoire. Elle ne remplace pas un avis médical, un pilulier sécurisé, la surveillance d’un aidant ou le suivi par un professionnel de santé.","This app is a memory aid. It does not replace medical advice, a secure pill organizer, caregiver supervision, or follow-up by a healthcare professional.","",""
